weather,road_condition,traffic_level,visibility,time_of_day,speed_kmh,road_type,lighting,num_vehicles,risk_score,risk_level
Foggy,Icy,Moderate,Moderate (500m-1km),Afternoon,109,Rural Single Lane,Daylight,3,92.4,HIGH
Overcast,Potholes / Damaged,Congested,Poor (100-500m),Dawn,67,Ghat / Mountain,Dimly Lit,7,89.2,HIGH
Foggy,Potholes / Damaged,Heavy,Moderate (500m-1km),Morning Rush,106,Rural Single Lane,Daylight,11,91.3,HIGH
Snow,Wet,Low,Very Poor (<100m),Dawn,83,Urban Arterial,Dimly Lit,33,78.8,HIGH
Snow,Dry,Low,Good (>1km),Late Night,66,Urban Arterial,Dark / No Lights,30,77.5,HIGH
Clear,Icy,Moderate,Good (>1km),Morning Rush,92,Urban Arterial,Well Lit Street,21,72.8,HIGH
Rainy,Potholes / Damaged,Congested,Moderate (500m-1km),Morning Rush,69,Highway,Dimly Lit,24,62.3,MEDIUM
Snow,Wet,Low,Good (>1km),Morning Rush,114,Ghat / Mountain,Dark / No Lights,5,97,HIGH
Snow,Wet,Congested,Very Poor (<100m),Evening Rush,93,Residential,Daylight,3,97,HIGH
Rainy,Potholes / Damaged,Congested,Poor (100-500m),Afternoon,46,Residential,Well Lit Street,35,88.6,HIGH
Clear,Under Construction,Heavy,Poor (100-500m),Dawn,84,Urban Arterial,Dark / No Lights,10,70.3,HIGH
Overcast,Wet,Heavy,Good (>1km),Dawn,45,Highway,Daylight,17,49.4,MEDIUM
Clear,Wet,Moderate,Good (>1km),Afternoon,86,Residential,Well Lit Street,29,31.7,LOW
Rainy,Under Construction,Heavy,Very Poor (<100m),Evening Rush,25,Ghat / Mountain,Daylight,20,89.9,HIGH
Foggy,Dry,Low,Moderate (500m-1km),Dawn,97,Residential,Well Lit Street,25,64.5,MEDIUM
Rainy,Icy,Congested,Very Poor (<100m),Late Night,39,Urban Arterial,Dark / No Lights,16,97,HIGH
Overcast,Icy,Congested,Poor (100-500m),Evening Rush,67,Ghat / Mountain,Dimly Lit,14,97,HIGH
Foggy,Wet,Heavy,Poor (100-500m),Dawn,43,Rural Single Lane,Daylight,7,92.7,HIGH
Rainy,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,76,Urban Arterial,Dark / No Lights,9,97,HIGH
Overcast,Icy,Low,Moderate (500m-1km),Morning Rush,100,Urban Arterial,Well Lit Street,4,74.3,HIGH
Clear,Potholes / Damaged,Congested,Good (>1km),Morning Rush,105,Rural Single Lane,Dimly Lit,18,64.2,MEDIUM
Foggy,Icy,Heavy,Very Poor (<100m),Late Night,101,Urban Arterial,Dark / No Lights,3,97,HIGH
Foggy,Dry,Moderate,Good (>1km),Evening Rush,64,Ghat / Mountain,Dimly Lit,16,54.1,MEDIUM
Snow,Potholes / Damaged,Heavy,Moderate (500m-1km),Evening Rush,50,Residential,Daylight,32,68.4,MEDIUM
Foggy,Potholes / Damaged,Heavy,Moderate (500m-1km),Late Night,111,Ghat / Mountain,Daylight,33,97,HIGH
Overcast,Potholes / Damaged,Low,Good (>1km),Late Night,50,Urban Arterial,Dimly Lit,32,47.9,MEDIUM
Snow,Wet,Moderate,Good (>1km),Evening Rush,96,Highway,Daylight,12,79.1,HIGH
Foggy,Dry,Heavy,Very Poor (<100m),Afternoon,84,Residential,Well Lit Street,16,77.2,HIGH
Foggy,Icy,Moderate,Moderate (500m-1km),Late Night,98,Urban Arterial,Well Lit Street,3,97,HIGH
Foggy,Dry,Low,Poor (100-500m),Evening Rush,46,Ghat / Mountain,Dimly Lit,27,78.9,HIGH
Clear,Dry,Heavy,Moderate (500m-1km),Dawn,25,Rural Single Lane,Dimly Lit,13,33.6,LOW
Overcast,Icy,Heavy,Moderate (500m-1km),Evening Rush,112,Urban Arterial,Daylight,3,90.6,HIGH
Rainy,Wet,Heavy,Very Poor (<100m),Evening Rush,89,Residential,Dark / No Lights,20,97,HIGH
Snow,Potholes / Damaged,Low,Poor (100-500m),Morning Rush,75,Residential,Well Lit Street,10,81.8,HIGH
Overcast,Icy,Moderate,Moderate (500m-1km),Morning Rush,109,Residential,Well Lit Street,33,70.3,HIGH
Snow,Under Construction,Low,Poor (100-500m),Late Night,45,Ghat / Mountain,Well Lit Street,28,97,HIGH
Snow,Dry,Congested,Poor (100-500m),Evening Rush,100,Rural Single Lane,Dark / No Lights,14,97,HIGH
Clear,Under Construction,Low,Good (>1km),Late Night,56,Urban Arterial,Daylight,6,30.7,LOW
Foggy,Potholes / Damaged,Moderate,Very Poor (<100m),Dawn,98,Urban Arterial,Daylight,18,97,HIGH
Overcast,Icy,Moderate,Good (>1km),Dawn,114,Ghat / Mountain,Dark / No Lights,35,97,HIGH
Snow,Under Construction,Congested,Moderate (500m-1km),Afternoon,27,Rural Single Lane,Dimly Lit,20,59.3,MEDIUM
Clear,Wet,Low,Good (>1km),Morning Rush,113,Highway,Dark / No Lights,3,75.5,HIGH
Rainy,Wet,Low,Poor (100-500m),Afternoon,85,Residential,Well Lit Street,33,70.4,HIGH
Overcast,Wet,Congested,Good (>1km),Afternoon,74,Residential,Dimly Lit,7,46.9,MEDIUM
Overcast,Icy,Low,Moderate (500m-1km),Afternoon,27,Urban Arterial,Dimly Lit,28,45.5,MEDIUM
Rainy,Potholes / Damaged,Congested,Good (>1km),Dawn,62,Highway,Daylight,31,67.2,MEDIUM
Overcast,Wet,Heavy,Good (>1km),Late Night,103,Highway,Dimly Lit,10,83.4,HIGH
Overcast,Icy,Heavy,Good (>1km),Afternoon,39,Highway,Dimly Lit,23,63.7,MEDIUM
Overcast,Dry,Moderate,Moderate (500m-1km),Evening Rush,90,Highway,Dimly Lit,12,13.8,LOW
Rainy,Dry,Congested,Moderate (500m-1km),Late Night,51,Residential,Dark / No Lights,2,82.1,HIGH
Rainy,Dry,Moderate,Very Poor (<100m),Evening Rush,103,Ghat / Mountain,Dimly Lit,7,93.2,HIGH
Snow,Dry,Congested,Good (>1km),Late Night,83,Highway,Well Lit Street,1,68.7,MEDIUM
Foggy,Dry,Moderate,Good (>1km),Morning Rush,48,Urban Arterial,Well Lit Street,2,40.0,LOW
Snow,Under Construction,Low,Poor (100-500m),Morning Rush,64,Ghat / Mountain,Well Lit Street,25,84.0,HIGH
Snow,Wet,Congested,Very Poor (<100m),Late Night,101,Highway,Dark / No Lights,23,97,HIGH
Foggy,Wet,Low,Very Poor (<100m),Afternoon,104,Rural Single Lane,Dark / No Lights,35,97,HIGH
Snow,Potholes / Damaged,Moderate,Poor (100-500m),Late Night,109,Highway,Dimly Lit,2,97,HIGH
Clear,Potholes / Damaged,Moderate,Very Poor (<100m),Dawn,63,Urban Arterial,Well Lit Street,17,51.3,MEDIUM
Snow,Dry,Low,Moderate (500m-1km),Late Night,112,Residential,Well Lit Street,4,79.9,HIGH
Overcast,Under Construction,Heavy,Moderate (500m-1km),Late Night,66,Urban Arterial,Dimly Lit,19,44.5,MEDIUM
Snow,Potholes / Damaged,Congested,Moderate (500m-1km),Afternoon,28,Ghat / Mountain,Dark / No Lights,30,97,HIGH
Clear,Potholes / Damaged,Congested,Good (>1km),Morning Rush,80,Urban Arterial,Dimly Lit,2,44.2,MEDIUM
Clear,Dry,Moderate,Good (>1km),Afternoon,54,Rural Single Lane,Dimly Lit,24,12.4,LOW
Overcast,Wet,Congested,Moderate (500m-1km),Morning Rush,111,Rural Single Lane,Dark / No Lights,10,93.1,HIGH
Clear,Dry,Heavy,Good (>1km),Afternoon,97,Ghat / Mountain,Well Lit Street,7,72.6,HIGH
Snow,Icy,Congested,Good (>1km),Dawn,81,Residential,Dark / No Lights,11,97,HIGH
Overcast,Under Construction,Low,Poor (100-500m),Late Night,85,Ghat / Mountain,Daylight,23,72.0,HIGH
Rainy,Dry,Heavy,Poor (100-500m),Dawn,72,Ghat / Mountain,Dark / No Lights,13,97,HIGH
Foggy,Dry,Low,Moderate (500m-1km),Dawn,97,Urban Arterial,Dimly Lit,13,61.8,MEDIUM
Clear,Icy,Heavy,Moderate (500m-1km),Afternoon,117,Ghat / Mountain,Dimly Lit,24,97,HIGH
Clear,Dry,Heavy,Moderate (500m-1km),Late Night,111,Rural Single Lane,Dark / No Lights,1,89.6,HIGH
Snow,Potholes / Damaged,Low,Poor (100-500m),Morning Rush,115,Ghat / Mountain,Well Lit Street,33,97,HIGH
Foggy,Potholes / Damaged,Heavy,Good (>1km),Evening Rush,36,Urban Arterial,Well Lit Street,12,70.7,HIGH
Clear,Wet,Moderate,Good (>1km),Late Night,59,Urban Arterial,Well Lit Street,9,49.4,MEDIUM
Snow,Potholes / Damaged,Congested,Moderate (500m-1km),Afternoon,113,Rural Single Lane,Daylight,5,96.9,HIGH
Overcast,Dry,Heavy,Poor (100-500m),Dawn,107,Urban Arterial,Dark / No Lights,7,96.3,HIGH
Snow,Wet,Low,Good (>1km),Afternoon,35,Rural Single Lane,Daylight,16,57.6,MEDIUM
Snow,Wet,Low,Moderate (500m-1km),Morning Rush,36,Ghat / Mountain,Dark / No Lights,32,97,HIGH
Overcast,Icy,Moderate,Poor (100-500m),Evening Rush,42,Rural Single Lane,Dimly Lit,28,67.2,MEDIUM
Overcast,Icy,Moderate,Good (>1km),Evening Rush,96,Highway,Well Lit Street,16,71.3,HIGH
Foggy,Wet,Heavy,Moderate (500m-1km),Afternoon,89,Urban Arterial,Dark / No Lights,14,89.6,HIGH
Rainy,Icy,Congested,Moderate (500m-1km),Evening Rush,52,Rural Single Lane,Dimly Lit,33,86.1,HIGH
Clear,Icy,Heavy,Poor (100-500m),Dawn,47,Residential,Dimly Lit,6,89.7,HIGH
Clear,Icy,Congested,Very Poor (<100m),Morning Rush,97,Rural Single Lane,Well Lit Street,20,97,HIGH
Overcast,Under Construction,Heavy,Moderate (500m-1km),Evening Rush,96,Ghat / Mountain,Daylight,1,71.4,HIGH
Clear,Icy,Heavy,Good (>1km),Late Night,89,Urban Arterial,Well Lit Street,19,75.6,HIGH
Foggy,Wet,Congested,Moderate (500m-1km),Evening Rush,97,Urban Arterial,Dimly Lit,35,94.8,HIGH
Snow,Wet,Congested,Moderate (500m-1km),Late Night,78,Urban Arterial,Well Lit Street,15,87.1,HIGH
Foggy,Under Construction,Heavy,Good (>1km),Morning Rush,62,Ghat / Mountain,Well Lit Street,35,70.6,HIGH
Overcast,Wet,Heavy,Poor (100-500m),Morning Rush,73,Highway,Daylight,14,74.2,HIGH
Snow,Under Construction,Heavy,Moderate (500m-1km),Afternoon,38,Highway,Daylight,24,53.8,MEDIUM
Snow,Dry,Moderate,Very Poor (<100m),Morning Rush,102,Ghat / Mountain,Dimly Lit,2,97,HIGH
Overcast,Dry,Heavy,Very Poor (<100m),Late Night,71,Urban Arterial,Well Lit Street,7,64.0,MEDIUM
Foggy,Under Construction,Moderate,Poor (100-500m),Dawn,91,Rural Single Lane,Well Lit Street,19,82.8,HIGH
Foggy,Icy,Congested,Very Poor (<100m),Evening Rush,94,Residential,Well Lit Street,35,97,HIGH
Clear,Dry,Heavy,Good (>1km),Evening Rush,57,Highway,Daylight,28,34.4,LOW
Rainy,Potholes / Damaged,Low,Good (>1km),Evening Rush,90,Residential,Dark / No Lights,7,69.7,MEDIUM
Snow,Under Construction,Moderate,Very Poor (<100m),Late Night,90,Highway,Dark / No Lights,3,95.0,HIGH
Clear,Icy,Moderate,Very Poor (<100m),Afternoon,85,Rural Single Lane,Dark / No Lights,11,91.2,HIGH
Foggy,Potholes / Damaged,Low,Good (>1km),Evening Rush,53,Highway,Dimly Lit,28,51.6,MEDIUM
Overcast,Dry,Heavy,Poor (100-500m),Morning Rush,96,Urban Arterial,Dimly Lit,12,77.1,HIGH
Clear,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,39,Rural Single Lane,Daylight,10,67.2,MEDIUM
Overcast,Under Construction,Low,Good (>1km),Morning Rush,53,Highway,Well Lit Street,17,17.3,LOW
Clear,Under Construction,Congested,Very Poor (<100m),Late Night,110,Ghat / Mountain,Dimly Lit,2,97,HIGH
Rainy,Under Construction,Low,Moderate (500m-1km),Late Night,42,Residential,Well Lit Street,9,43.9,MEDIUM
Rainy,Potholes / Damaged,Congested,Moderate (500m-1km),Dawn,115,Residential,Dark / No Lights,6,97,HIGH
Overcast,Dry,Congested,Very Poor (<100m),Evening Rush,26,Highway,Dimly Lit,16,49.5,MEDIUM
Foggy,Dry,Congested,Moderate (500m-1km),Morning Rush,37,Highway,Dimly Lit,33,57.9,MEDIUM
Overcast,Dry,Congested,Poor (100-500m),Evening Rush,93,Highway,Dark / No Lights,3,95.6,HIGH
Overcast,Potholes / Damaged,Congested,Good (>1km),Morning Rush,84,Highway,Dark / No Lights,35,69.0,MEDIUM
Overcast,Wet,Moderate,Poor (100-500m),Dawn,106,Ghat / Mountain,Daylight,34,96.0,HIGH
Rainy,Dry,Heavy,Good (>1km),Afternoon,60,Residential,Dark / No Lights,22,70.6,HIGH
Overcast,Icy,Heavy,Moderate (500m-1km),Evening Rush,26,Highway,Dark / No Lights,35,84.4,HIGH
Overcast,Under Construction,Congested,Very Poor (<100m),Morning Rush,49,Rural Single Lane,Dimly Lit,2,56.8,MEDIUM
Snow,Wet,Moderate,Moderate (500m-1km),Afternoon,34,Urban Arterial,Well Lit Street,12,55.9,MEDIUM
Foggy,Dry,Moderate,Very Poor (<100m),Afternoon,98,Residential,Daylight,3,86.1,HIGH
Overcast,Potholes / Damaged,Moderate,Very Poor (<100m),Dawn,40,Residential,Dimly Lit,1,55.3,MEDIUM
Snow,Potholes / Damaged,Heavy,Poor (100-500m),Evening Rush,45,Rural Single Lane,Dark / No Lights,7,97,HIGH
Foggy,Icy,Moderate,Moderate (500m-1km),Late Night,26,Residential,Dark / No Lights,4,97,HIGH
Rainy,Under Construction,Congested,Very Poor (<100m),Morning Rush,77,Residential,Dark / No Lights,21,88.7,HIGH
Overcast,Wet,Moderate,Very Poor (<100m),Dawn,46,Rural Single Lane,Dimly Lit,18,51.6,MEDIUM
Rainy,Wet,Congested,Good (>1km),Evening Rush,99,Urban Arterial,Dimly Lit,33,85.7,HIGH
Snow,Wet,Heavy,Poor (100-500m),Evening Rush,89,Ghat / Mountain,Daylight,8,97,HIGH
Foggy,Icy,Heavy,Good (>1km),Morning Rush,61,Highway,Daylight,5,87.6,HIGH
Overcast,Potholes / Damaged,Low,Good (>1km),Afternoon,107,Urban Arterial,Dimly Lit,24,49.3,MEDIUM
Foggy,Dry,Congested,Very Poor (<100m),Morning Rush,49,Ghat / Mountain,Dark / No Lights,23,97,HIGH
Snow,Icy,Low,Poor (100-500m),Morning Rush,37,Rural Single Lane,Dark / No Lights,32,97,HIGH
Clear,Icy,Low,Good (>1km),Late Night,113,Residential,Well Lit Street,26,81.3,HIGH
Snow,Icy,Moderate,Very Poor (<100m),Dawn,74,Urban Arterial,Dark / No Lights,34,97,HIGH
Rainy,Potholes / Damaged,Heavy,Poor (100-500m),Morning Rush,106,Rural Single Lane,Dark / No Lights,32,97,HIGH
Clear,Under Construction,Low,Very Poor (<100m),Dawn,29,Residential,Daylight,28,36.3,LOW
Overcast,Icy,Moderate,Very Poor (<100m),Late Night,81,Highway,Dark / No Lights,21,97,HIGH
Clear,Icy,Low,Poor (100-500m),Afternoon,69,Ghat / Mountain,Dark / No Lights,34,97,HIGH
Rainy,Potholes / Damaged,Moderate,Very Poor (<100m),Evening Rush,46,Rural Single Lane,Daylight,2,72.8,HIGH
Clear,Dry,Low,Very Poor (<100m),Dawn,54,Ghat / Mountain,Dark / No Lights,7,77.4,HIGH
Clear,Dry,Low,Poor (100-500m),Evening Rush,52,Residential,Dark / No Lights,18,55.7,MEDIUM
Clear,Icy,Heavy,Good (>1km),Late Night,70,Urban Arterial,Daylight,11,81.3,HIGH
Rainy,Potholes / Damaged,Congested,Moderate (500m-1km),Afternoon,39,Urban Arterial,Dark / No Lights,29,81.5,HIGH
Rainy,Under Construction,Low,Moderate (500m-1km),Late Night,67,Residential,Dark / No Lights,19,68.2,MEDIUM
Snow,Icy,Low,Poor (100-500m),Late Night,26,Ghat / Mountain,Dark / No Lights,26,97,HIGH
Clear,Potholes / Damaged,Congested,Poor (100-500m),Late Night,33,Highway,Dark / No Lights,29,97,HIGH
Clear,Icy,Congested,Good (>1km),Dawn,68,Highway,Daylight,25,61.5,MEDIUM
Rainy,Potholes / Damaged,Moderate,Good (>1km),Dawn,63,Urban Arterial,Dark / No Lights,35,70.0,HIGH
Rainy,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,102,Urban Arterial,Dimly Lit,22,97,HIGH
Snow,Dry,Heavy,Good (>1km),Afternoon,104,Ghat / Mountain,Daylight,29,97,HIGH
Snow,Wet,Congested,Very Poor (<100m),Afternoon,100,Urban Arterial,Dimly Lit,10,97,HIGH
Rainy,Icy,Moderate,Very Poor (<100m),Evening Rush,116,Ghat / Mountain,Daylight,27,97,HIGH
Foggy,Potholes / Damaged,Low,Good (>1km),Morning Rush,81,Ghat / Mountain,Daylight,10,71.3,HIGH
Rainy,Icy,Moderate,Poor (100-500m),Morning Rush,118,Rural Single Lane,Daylight,16,97,HIGH
Snow,Icy,Low,Good (>1km),Late Night,75,Residential,Daylight,5,89.5,HIGH
Clear,Under Construction,Congested,Very Poor (<100m),Morning Rush,31,Ghat / Mountain,Dimly Lit,29,73.7,HIGH
Overcast,Potholes / Damaged,Congested,Poor (100-500m),Morning Rush,84,Rural Single Lane,Dark / No Lights,26,90.6,HIGH
Rainy,Icy,Heavy,Moderate (500m-1km),Morning Rush,90,Ghat / Mountain,Dimly Lit,2,97,HIGH
Clear,Dry,Heavy,Good (>1km),Late Night,59,Urban Arterial,Well Lit Street,3,46.0,MEDIUM
Foggy,Dry,Congested,Good (>1km),Afternoon,26,Ghat / Mountain,Daylight,28,74.9,HIGH
Foggy,Under Construction,Heavy,Poor (100-500m),Evening Rush,66,Highway,Dark / No Lights,9,96.3,HIGH
Snow,Dry,Moderate,Moderate (500m-1km),Late Night,57,Ghat / Mountain,Dimly Lit,11,70.8,HIGH
Foggy,Dry,Low,Good (>1km),Late Night,83,Residential,Dark / No Lights,20,72.7,HIGH
Foggy,Under Construction,Low,Moderate (500m-1km),Late Night,110,Urban Arterial,Well Lit Street,23,76.3,HIGH
Snow,Icy,Moderate,Moderate (500m-1km),Late Night,97,Highway,Daylight,22,97,HIGH
Clear,Icy,Moderate,Poor (100-500m),Evening Rush,94,Rural Single Lane,Dimly Lit,35,91.2,HIGH
Overcast,Icy,Low,Moderate (500m-1km),Evening Rush,46,Highway,Well Lit Street,31,45.3,MEDIUM
Overcast,Icy,Congested,Very Poor (<100m),Dawn,42,Residential,Dimly Lit,21,84.8,HIGH
Clear,Icy,Moderate,Moderate (500m-1km),Late Night,116,Residential,Dark / No Lights,6,97,HIGH
Clear,Wet,Congested,Good (>1km),Evening Rush,84,Residential,Well Lit Street,14,50.6,MEDIUM
Overcast,Wet,Low,Poor (100-500m),Afternoon,69,Rural Single Lane,Dark / No Lights,13,76.9,HIGH
Foggy,Icy,Heavy,Moderate (500m-1km),Afternoon,30,Residential,Well Lit Street,13,87.4,HIGH
Overcast,Under Construction,Moderate,Moderate (500m-1km),Late Night,66,Urban Arterial,Well Lit Street,8,31.3,LOW
Snow,Dry,Congested,Poor (100-500m),Dawn,57,Ghat / Mountain,Daylight,23,97,HIGH
Overcast,Dry,Moderate,Good (>1km),Morning Rush,32,Rural Single Lane,Dimly Lit,14,15.6,LOW
Foggy,Wet,Congested,Moderate (500m-1km),Morning Rush,89,Residential,Daylight,19,69.5,MEDIUM
Overcast,Potholes / Damaged,Moderate,Poor (100-500m),Late Night,113,Urban Arterial,Dimly Lit,1,90.8,HIGH
Snow,Dry,Heavy,Poor (100-500m),Evening Rush,80,Residential,Daylight,30,77.1,HIGH
Rainy,Under Construction,Congested,Good (>1km),Evening Rush,32,Residential,Daylight,26,48.1,MEDIUM
Rainy,Under Construction,Moderate,Good (>1km),Dawn,46,Highway,Dimly Lit,10,36.5,LOW
Foggy,Potholes / Damaged,Low,Very Poor (<100m),Afternoon,70,Highway,Well Lit Street,26,72.3,HIGH
Rainy,Wet,Low,Moderate (500m-1km),Afternoon,80,Urban Arterial,Dark / No Lights,6,67.1,MEDIUM
Overcast,Under Construction,Low,Poor (100-500m),Evening Rush,47,Residential,Daylight,19,40.8,LOW
Snow,Wet,Moderate,Moderate (500m-1km),Morning Rush,37,Ghat / Mountain,Dark / No Lights,10,94.6,HIGH
Rainy,Potholes / Damaged,Low,Very Poor (<100m),Dawn,82,Highway,Dimly Lit,1,72.1,HIGH
Clear,Wet,Low,Good (>1km),Dawn,109,Highway,Well Lit Street,21,53.3,MEDIUM
Rainy,Potholes / Damaged,Low,Very Poor (<100m),Afternoon,69,Ghat / Mountain,Daylight,5,87.4,HIGH
Rainy,Dry,Low,Moderate (500m-1km),Afternoon,61,Residential,Well Lit Street,29,33.1,LOW
Clear,Potholes / Damaged,Low,Very Poor (<100m),Dawn,30,Urban Arterial,Dimly Lit,5,55.0,MEDIUM
Rainy,Wet,Low,Poor (100-500m),Afternoon,95,Residential,Well Lit Street,21,97,HIGH
Snow,Wet,Moderate,Moderate (500m-1km),Dawn,36,Residential,Dimly Lit,25,60.9,MEDIUM
Clear,Potholes / Damaged,Moderate,Poor (100-500m),Dawn,86,Highway,Dark / No Lights,26,68.2,MEDIUM
Foggy,Wet,Heavy,Good (>1km),Late Night,57,Urban Arterial,Dimly Lit,14,85.2,HIGH
Rainy,Under Construction,Moderate,Good (>1km),Evening Rush,59,Urban Arterial,Dark / No Lights,33,53.0,MEDIUM
Snow,Dry,Congested,Very Poor (<100m),Late Night,45,Urban Arterial,Well Lit Street,26,91.7,HIGH
Rainy,Dry,Congested,Very Poor (<100m),Late Night,106,Rural Single Lane,Dark / No Lights,14,97,HIGH
Foggy,Icy,Low,Very Poor (<100m),Morning Rush,43,Residential,Daylight,5,93.1,HIGH
Snow,Wet,Moderate,Very Poor (<100m),Late Night,104,Residential,Daylight,16,97,HIGH
Snow,Dry,Heavy,Moderate (500m-1km),Dawn,69,Urban Arterial,Daylight,4,56.6,MEDIUM
Clear,Potholes / Damaged,Heavy,Very Poor (<100m),Late Night,98,Highway,Dimly Lit,26,97,HIGH
Clear,Under Construction,Heavy,Very Poor (<100m),Afternoon,64,Highway,Daylight,17,55.4,MEDIUM
Snow,Potholes / Damaged,Heavy,Moderate (500m-1km),Dawn,58,Ghat / Mountain,Well Lit Street,12,86.4,HIGH
Foggy,Wet,Heavy,Poor (100-500m),Afternoon,88,Ghat / Mountain,Dark / No Lights,33,97,HIGH
Overcast,Icy,Heavy,Poor (100-500m),Evening Rush,68,Highway,Daylight,25,90.4,HIGH
Snow,Icy,Congested,Moderate (500m-1km),Evening Rush,50,Highway,Daylight,26,94.2,HIGH
Foggy,Wet,Low,Very Poor (<100m),Dawn,50,Urban Arterial,Daylight,31,80.6,HIGH
Snow,Under Construction,Congested,Good (>1km),Afternoon,30,Ghat / Mountain,Dark / No Lights,32,97,HIGH
Rainy,Potholes / Damaged,Moderate,Moderate (500m-1km),Late Night,92,Residential,Dark / No Lights,7,97,HIGH
Clear,Under Construction,Congested,Moderate (500m-1km),Evening Rush,113,Highway,Dark / No Lights,7,75.7,HIGH
Foggy,Potholes / Damaged,Low,Moderate (500m-1km),Dawn,93,Highway,Dark / No Lights,24,95.7,HIGH
Rainy,Wet,Moderate,Moderate (500m-1km),Late Night,97,Highway,Daylight,25,85.2,HIGH
Clear,Potholes / Damaged,Congested,Moderate (500m-1km),Afternoon,30,Residential,Daylight,32,49.1,MEDIUM
Snow,Dry,Moderate,Very Poor (<100m),Afternoon,48,Ghat / Mountain,Daylight,16,78.1,HIGH
Snow,Wet,Moderate,Moderate (500m-1km),Dawn,47,Rural Single Lane,Dimly Lit,16,56.1,MEDIUM
Foggy,Potholes / Damaged,Heavy,Moderate (500m-1km),Afternoon,25,Highway,Dimly Lit,11,72.5,HIGH
Rainy,Potholes / Damaged,Low,Poor (100-500m),Late Night,28,Highway,Well Lit Street,18,86.3,HIGH
Rainy,Dry,Low,Moderate (500m-1km),Morning Rush,84,Urban Arterial,Daylight,3,32.9,LOW
Foggy,Under Construction,Heavy,Good (>1km),Evening Rush,32,Residential,Well Lit Street,15,57.7,MEDIUM
Foggy,Wet,Heavy,Moderate (500m-1km),Late Night,102,Ghat / Mountain,Dimly Lit,17,97,HIGH
Foggy,Potholes / Damaged,Low,Very Poor (<100m),Dawn,102,Residential,Dark / No Lights,21,97,HIGH
Foggy,Under Construction,Heavy,Poor (100-500m),Evening Rush,103,Highway,Dark / No Lights,28,97,HIGH
Clear,Under Construction,Heavy,Good (>1km),Dawn,31,Rural Single Lane,Well Lit Street,31,31.6,LOW
Clear,Potholes / Damaged,Heavy,Moderate (500m-1km),Evening Rush,38,Residential,Dimly Lit,16,44.4,MEDIUM
Rainy,Potholes / Damaged,Low,Moderate (500m-1km),Morning Rush,27,Highway,Well Lit Street,23,44.1,MEDIUM
Overcast,Dry,Congested,Very Poor (<100m),Morning Rush,79,Urban Arterial,Daylight,34,52.6,MEDIUM
Clear,Under Construction,Moderate,Poor (100-500m),Morning Rush,49,Highway,Dark / No Lights,11,53.8,MEDIUM
Clear,Under Construction,Low,Moderate (500m-1km),Late Night,76,Ghat / Mountain,Daylight,2,44.6,MEDIUM
Snow,Wet,Low,Very Poor (<100m),Morning Rush,47,Ghat / Mountain,Dark / No Lights,27,97,HIGH
Snow,Dry,Congested,Good (>1km),Evening Rush,119,Ghat / Mountain,Dark / No Lights,14,97,HIGH
Overcast,Under Construction,Moderate,Poor (100-500m),Late Night,35,Urban Arterial,Dark / No Lights,29,73.4,HIGH
Rainy,Under Construction,Moderate,Moderate (500m-1km),Evening Rush,42,Urban Arterial,Well Lit Street,1,33.8,LOW
Clear,Icy,Congested,Moderate (500m-1km),Evening Rush,62,Urban Arterial,Dimly Lit,14,61.9,MEDIUM
Rainy,Wet,Heavy,Very Poor (<100m),Evening Rush,74,Residential,Dark / No Lights,16,97,HIGH
Overcast,Wet,Congested,Good (>1km),Evening Rush,59,Ghat / Mountain,Daylight,5,64.6,MEDIUM
Rainy,Under Construction,Heavy,Poor (100-500m),Late Night,92,Residential,Well Lit Street,18,97,HIGH
Snow,Icy,Moderate,Good (>1km),Morning Rush,69,Ghat / Mountain,Well Lit Street,22,96.5,HIGH
Rainy,Under Construction,Moderate,Very Poor (<100m),Dawn,118,Urban Arterial,Dark / No Lights,15,94.8,HIGH
Rainy,Wet,Low,Poor (100-500m),Morning Rush,112,Ghat / Mountain,Daylight,34,97,HIGH
Snow,Under Construction,Heavy,Good (>1km),Afternoon,77,Rural Single Lane,Dimly Lit,7,54.6,MEDIUM
Clear,Dry,Congested,Very Poor (<100m),Morning Rush,64,Ghat / Mountain,Daylight,34,69.2,MEDIUM
Foggy,Icy,Low,Good (>1km),Dawn,77,Highway,Well Lit Street,19,70.4,HIGH
Snow,Wet,Heavy,Good (>1km),Morning Rush,56,Highway,Well Lit Street,24,75.6,HIGH
Overcast,Wet,Moderate,Moderate (500m-1km),Morning Rush,66,Ghat / Mountain,Well Lit Street,16,50.8,MEDIUM
Rainy,Dry,Low,Good (>1km),Morning Rush,91,Urban Arterial,Dark / No Lights,13,73.6,HIGH
Foggy,Under Construction,Low,Moderate (500m-1km),Dawn,80,Rural Single Lane,Dark / No Lights,27,55.6,MEDIUM
Snow,Dry,Low,Poor (100-500m),Dawn,44,Ghat / Mountain,Dark / No Lights,31,97,HIGH
Rainy,Potholes / Damaged,Moderate,Poor (100-500m),Afternoon,29,Highway,Daylight,24,71.7,HIGH
Clear,Dry,Moderate,Poor (100-500m),Dawn,102,Residential,Well Lit Street,23,55.6,MEDIUM
